word,_type,rating_brightness,rating_valence,rating_intensity
abandonner,ctrl,2.8666666666666667,0.7333333333333333,1.2666666666666666
absent,ctrl,2.2333333333333334,1.4333333333333333,0.6333333333333333
abstenir,ctrl,2.1666666666666665,1.7333333333333334,0.4
artistique,ctrl,1.3333333333333333,3,1
assistant,ctrl,1.9333333333333333,2.2666666666666666,0.26666666666666666
assombrir,dark,3.033333333333333,1.4333333333333333,0.8333333333333334
assombrissement,dark,3.066666666666667,1.3333333333333333,0.8666666666666667
auberge,ctrl,1.8333333333333333,2.3,0.43333333333333335
blanc,light,1.1333333333333333,2.3333333333333335,0.4
blanchi,light,1.1666666666666667,2.2666666666666666,0.4666666666666667
blanchiment,light,1.1,2.3,0.5666666666666667
blanchir,light,1.1,2.3666666666666667,0.5
blanchissement,light,1.1333333333333333,2.4,0.5333333333333333
blond,ctrl,1.2333333333333334,2.2666666666666666,0.5333333333333333
brillance,light,0.6666666666666666,2.8666666666666667,0.8666666666666667
brillant,light,0.7666666666666667,2.966666666666667,0.9666666666666667
briller,light,0.6666666666666666,3,1
brumeux,dark,2.6666666666666665,1.6,0.6666666666666666
brève,ctrl,2.1,2.033333333333333,0.23333333333333334
cacher,ctrl,2.3,1.7666666666666666,0.5
charmant,ctrl,1.3,3.1666666666666665,1.1666666666666667
conséquence,ctrl,2.2,1.9333333333333333,0.26666666666666666
contraire,ctrl,2.1666666666666665,1.9333333333333333,0.26666666666666666
dessin,ctrl,1.7333333333333334,2.6,0.7333333333333333
décider,ctrl,1.6333333333333333,2.6333333333333333,0.7666666666666667
ennuager,dark,2.6666666666666665,1.4666666666666666,0.6666666666666666
ensoleiller,light,0.5666666666666667,3.033333333333333,1.1
ensoleillé,light,0.7666666666666667,3.1666666666666665,1.1666666666666667
enténébrer,dark,3.3666666666666667,1.1,1.0333333333333334
familier,ctrl,1.6666666666666667,2.566666666666667,0.5666666666666667
foncé,dark,3,1.6,0.6
fracasser,ctrl,2.6666666666666665,0.8,1.4
généreux,ctrl,1.1,3.433333333333333,1.4333333333333333
honnête,ctrl,1.4,3.1333333333333333,1.2
illuminant,light,0.7666666666666667,3.033333333333333,1.0333333333333334
illumination,light,0.5,3.066666666666667,1.1333333333333333
illuminer,light,0.5666666666666667,3.1666666666666665,1.1666666666666667
illuminé,light,0.7333333333333333,2.8,0.8666666666666667
insalubre,dark,3.1,0.6,1.4
jour,light,1.1,2.7333333333333334,0.8
justifier,ctrl,1.8666666666666667,2.2666666666666666,0.4666666666666667
luire,light,1.1333333333333333,2.6,0.7333333333333333
luisant,light,0.9666666666666667,2.5,0.6333333333333333
lumineux,light,1.0333333333333334,3,1
luminosité,light,1.2,2.9,0.9
lumière,light,0.8666666666666667,3,1.1333333333333333
mondial,ctrl,1.7,2.3333333333333335,0.3333333333333333
mère,ctrl,1.4666666666666666,2.9,1.0333333333333334
noir,dark,3.3,1.6333333333333333,0.5
noirceur,dark,3.3,1.4,0.8
noirci,dark,3.033333333333333,1.4,0.8666666666666667
noircir,dark,3.3,1.2666666666666666,0.9333333333333333
nourriture,ctrl,1.4333333333333333,3.066666666666667,1.0666666666666667
nuageux,dark,2.6666666666666665,1.6666666666666667,0.6666666666666666
nuit,dark,2.8,2.5,0.6333333333333333
obscur,dark,3.1666666666666665,1.3333333333333333,0.8
obscurcir,dark,3.1666666666666665,1.3333333333333333,0.8666666666666667
obscurcissement,dark,3.1,1.4666666666666666,0.8
obscurité,dark,3.1666666666666665,1.4,0.8666666666666667
ombrage,dark,2.7333333333333334,1.7666666666666666,0.5666666666666667
ombrager,dark,2.8,1.8,0.6666666666666666
ombragé,dark,2.8333333333333335,1.9666666666666666,0.7
ombrant,dark,2.8,1.5333333333333334,0.6666666666666666
ombre,dark,2.933333333333333,1.6,0.5333333333333333
opacifier,dark,2.9,1.4666666666666666,0.6
opacité,dark,2.8666666666666667,1.6333333333333333,0.5666666666666667
opaque,dark,2.8333333333333335,1.5333333333333334,0.5333333333333333
opposé,ctrl,2.1333333333333333,1.9333333333333333,0.4666666666666667
paisible,ctrl,1.3666666666666667,3.2666666666666666,1.2666666666666666
permettre,ctrl,1.6333333333333333,2.8,0.8666666666666667
personnel,ctrl,2.1333333333333333,2.2,0.4666666666666667
peuple,ctrl,1.7333333333333334,2.6,0.6666666666666666
photographe,ctrl,1.7,2.566666666666667,0.5666666666666667
pénombre,dark,2.9833333333333334,1.4333333333333333,0.8
renforcer,ctrl,1.5333333333333334,2.7333333333333334,0.8
satisfaction,ctrl,1.3333333333333333,3.4,1.4
scandaleux,ctrl,2.7,1.2333333333333334,0.9666666666666667
scintillant,light,0.8,2.933333333333333,0.9333333333333333
scintillement,light,0.7,2.9,0.9666666666666667
scintiller,light,0.8,3,1
sentimental,ctrl,1.6333333333333333,2.6666666666666665,0.8
simulé,ctrl,2.3333333333333335,1.5666666666666667,0.7
sombre,dark,3.066666666666667,1.4666666666666666,0.7333333333333333
sésame,ctrl,1.8666666666666667,2.2666666666666666,0.3333333333333333
terne,dark,2.8,1.2,0.9333333333333333
terni,dark,2.966666666666667,1.0666666666666667,0.9333333333333333
ternir,dark,2.8333333333333335,1.2333333333333334,0.8333333333333334
trouble,dark,2.6333333333333333,1.2,0.8666666666666667
témoin,ctrl,2,2.1333333333333333,0.26666666666666666
ténèbres,dark,3.566666666666667,1,1.2
ténébreux,dark,3.466666666666667,1.4,0.8666666666666667
ébloui,light,0.6,2.3666666666666667,0.9
éblouir,light,0.5666666666666667,2.566666666666667,0.9
éblouissant,light,0.3333333333333333,2.566666666666667,1.1
éclaircie,light,1.0333333333333334,3,1
éclaircissement,light,1,3.1333333333333333,1.1333333333333333
éclairer,light,1.0666666666666667,2.8333333333333335,0.8333333333333334
éclairé,light,1,2.8333333333333335,0.9666666666666667
éclatant,light,0.5666666666666667,2.933333333333333,1
étincelant,light,0.5333333333333333,2.966666666666667,1.0333333333333334
étinceler,light,0.7333333333333333,2.933333333333333,0.9333333333333333
