"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","1","brightness","5","odd","light","luire"
"1","3","brightness","5","odd","dark","assombrir"
"2","3","brightness","5","odd","dark","insalubre"
"3","2","brightness","5","odd","ctrl","contraire"
"4","1","brightness","5","odd","light","illuminé"
"5","3","brightness","5","odd","dark","térébrant"
"6","4","brightness","5","odd","dark","noir"
"7","3","brightness","5","odd","dark","ombrage"
"8","2","brightness","5","odd","ctrl","familier"
"9","0","brightness","5","odd","light","éblouir"
"10","1","brightness","5","odd","light","scintillement"
"11","0","brightness","5","odd","light","blanchiment"
"12","3","brightness","5","odd","dark","foncé"
"13","2","brightness","5","odd","ctrl","brève"
"14","1","brightness","5","odd","light","scintiller"
"15","3","brightness","5","odd","dark","ténébreux"
"16","3","brightness","5","odd","dark","ombragé"
"17","1","brightness","5","odd","ctrl","généreux"
"18","1","brightness","5","odd","ctrl","assistant"
"19","2","brightness","5","odd","dark","trouble"
"20","2","brightness","5","odd","ctrl","renforcer"
"21","3","brightness","5","odd","dark","opacifier"
"22","2","brightness","5","odd","ctrl","conséquence"
"23","3","brightness","5","odd","dark","ténèbres"
"24","2","brightness","5","odd","ctrl","sésame"
"25","3","brightness","5","odd","dark","ombrant"
"26","3","brightness","5","odd","dark","obscurcissement"
"27","2","brightness","5","odd","ctrl","dessin"
"28","1","brightness","5","odd","light","éclairé"
"29","2","brightness","5","odd","ctrl","nourriture"
"30","1","brightness","5","odd","light","luisant"
"31","2","brightness","5","odd","ctrl","opposé"
"32","3","brightness","5","odd","dark","pénombre"
"33","1","brightness","5","odd","ctrl","photographe"
"34","0","brightness","5","odd","light","ensoleiller"
"35","1","brightness","5","odd","light","luminosité"
"36","0","brightness","5","odd","light","éclatant"
"37","1","brightness","5","odd","light","lumière"
"38","3","brightness","5","odd","dark","obscur"
"39","2","brightness","5","odd","ctrl","cacher"
"40","1","brightness","5","odd","light","blanc"
"41","0","brightness","5","odd","light","illuminer"
"42","1","brightness","5","odd","light","blanchir"
"43","3","brightness","5","odd","dark","ombre"
"44","1","brightness","5","odd","ctrl","blond"
"45","2","brightness","5","odd","dark","nuit"
"46","2","brightness","5","odd","ctrl","peuple"
"47","2","brightness","5","odd","ctrl","abstenir"
"48","1","brightness","5","odd","ctrl","mère"
"49","2","brightness","5","odd","ctrl","sentimental"
"50","2","brightness","5","odd","ctrl","mondial"
"51","3","brightness","5","odd","dark","opaque"
"52","1","brightness","5","odd","ctrl","charmant"
"53","0","brightness","5","odd","light","éblouissant"
"54","2","brightness","5","odd","ctrl","abandonner"
"55","2","brightness","5","odd","ctrl","permettre"
"56","3","brightness","5","odd","dark","opacité"
"57","3","brightness","5","odd","dark","terni"
"58","2","brightness","5","odd","ctrl","décider"
"59","0","brightness","5","odd","light","étincelant"
"60","1","brightness","5","odd","light","blanchi"
"61","1","brightness","5","odd","light","jour"
"62","2","brightness","5","odd","dark","terne"
"63","2","brightness","5","odd","light","éclaircie"
"64","2","brightness","5","odd","ctrl","justifier"
"65","3","brightness","5","odd","dark","obscurité"
"66","2","brightness","5","odd","ctrl","paisible"
"67","0","brightness","5","odd","light","illumination"
"68","2","brightness","5","odd","ctrl","absent"
"69","1","brightness","5","odd","light","illuminant"
"70","2","brightness","5","odd","ctrl","simulé"
"71","1","brightness","5","odd","light","briller"
"72","2","brightness","5","odd","dark","brumeux"
"73","0","brightness","5","odd","light","brillant"
"74","0","brightness","5","odd","light","blanchissement"
"75","3","brightness","5","odd","dark","pénombre"
"76","3","brightness","5","odd","dark","enténébrer"
"77","2","brightness","5","odd","ctrl","témoin"
"78","2","brightness","5","odd","ctrl","scandaleux"
"79","1","brightness","5","odd","light","scintillant"
"80","3","brightness","5","odd","dark","assombrissement"
"81","3","brightness","5","odd","ctrl","fracasser"
"82","2","brightness","5","odd","ctrl","honnête"
"83","2","brightness","5","odd","ctrl","personnel"
"84","1","brightness","5","odd","light","lumineux"
"85","1","brightness","5","odd","ctrl","artistique"
"86","2","brightness","5","odd","dark","nuageux"
"87","1","brightness","5","odd","light","éclairer"
"88","1","brightness","5","odd","light","éclaircissement"
"89","3","brightness","5","odd","dark","obscurcir"
"90","0","brightness","5","odd","light","ébloui"
"91","2","brightness","5","odd","ctrl","auberge"
"92","3","brightness","5","odd","dark","noirci"
"93","0","brightness","5","odd","light","brillance"
"94","3","brightness","5","odd","dark","sombre"
"95","2","brightness","5","odd","dark","ennuager"
"96","1","brightness","5","odd","light","ensoleillé"
"97","3","brightness","5","odd","dark","noircir"
"98","3","brightness","5","odd","dark","noirceur"
"99","3","brightness","5","odd","dark","ombrager"
"100","2","brightness","5","odd","ctrl","satisfaction"
"101","1","brightness","5","odd","light","étinceler"
"102","3","brightness","5","odd","dark","ternir"
"103","2","emotion","5","odd","dark","noircir"
"104","2","emotion","5","odd","ctrl","assistant"
"105","3","emotion","5","odd","light","lumière"
"106","2","emotion","5","odd","ctrl","scandaleux"
"107","2","emotion","5","odd","ctrl","opposé"
"108","2","emotion","5","odd","dark","ombragé"
"109","0","emotion","5","odd","ctrl","fracasser"
"110","2","emotion","5","odd","ctrl","conséquence"
"111","2","emotion","5","odd","dark","obscurcissement"
"112","3","emotion","5","odd","ctrl","renforcer"
"113","1","emotion","5","odd","dark","ternir"
"114","1","emotion","5","odd","light","éblouissant"
"115","4","emotion","5","odd","light","ensoleillé"
"116","2","emotion","5","odd","dark","obscurité"
"117","4","emotion","5","odd","light","ensoleiller"
"118","2","emotion","5","odd","light","blanchir"
"119","4","emotion","5","odd","light","briller"
"120","2","emotion","5","odd","light","blanchi"
"121","3","emotion","5","odd","light","éclairé"
"122","2","emotion","5","odd","ctrl","dessin"
"123","3","emotion","5","odd","light","éclaircie"
"124","2","emotion","5","odd","light","blanchissement"
"125","3","emotion","5","odd","light","lumineux"
"126","2","emotion","5","odd","dark","opaque"
"127","3","emotion","5","odd","ctrl","généreux"
"128","2","emotion","5","odd","dark","assombrir"
"129","2","emotion","5","odd","light","étincelant"
"130","1","emotion","5","odd","ctrl","abandonner"
"131","3","emotion","5","odd","light","scintiller"
"132","0","emotion","5","odd","dark","insalubre"
"133","3","emotion","5","odd","ctrl","peuple"
"134","1","emotion","5","odd","dark","nuageux"
"135","3","emotion","5","odd","light","luisant"
"136","2","emotion","5","odd","ctrl","sésame"
"137","1","emotion","5","odd","dark","terne"
"138","4","emotion","5","odd","ctrl","honnête"
"139","2","emotion","5","odd","dark","noirceur"
"140","4","emotion","5","odd","ctrl","permettre"
"141","2","emotion","5","odd","dark","térébrant"
"142","1","emotion","5","odd","ctrl","simulé"
"143","3","emotion","5","odd","ctrl","décider"
"144","3","emotion","5","odd","ctrl","charmant"
"145","1","emotion","5","odd","dark","ténèbres"
"146","4","emotion","5","odd","ctrl","mère"
"147","2","emotion","5","odd","ctrl","personnel"
"148","3","emotion","5","odd","light","brillant"
"149","3","emotion","5","odd","light","jour"
"150","1","emotion","5","odd","dark","terni"
"151","3","emotion","5","odd","light","scintillant"
"152","2","emotion","5","odd","ctrl","familier"
"153","2","emotion","5","odd","dark","ombrager"
