"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","1","emotion","29","odd","dark","insalubre"
"1","1","emotion","29","odd","dark","obscurcir"
"2","1","emotion","29","odd","light","éblouir"
"3","3","emotion","29","odd","light","blanchiment"
"4","4","emotion","29","odd","light","brillant"
"5","3","emotion","29","odd","dark","nuit"
"6","4","emotion","29","odd","ctrl","nourriture"
"7","4","emotion","29","odd","light","briller"
"8","2","emotion","29","odd","dark","pénombre"
"9","3","emotion","29","odd","ctrl","sésame"
"10","3","emotion","29","odd","dark","térébrant"
"11","3","emotion","29","odd","dark","brumeux"
"12","3","emotion","29","odd","dark","assombrir"
"13","0","emotion","29","odd","ctrl","simulé"
"14","2","emotion","29","odd","ctrl","contraire"
"15","0","emotion","29","odd","ctrl","abandonner"
"16","2","emotion","29","odd","ctrl","témoin"
"17","4","emotion","29","odd","light","éclaircie"
"18","3","emotion","29","odd","light","éblouissant"
"19","4","emotion","29","odd","light","illumination"
"20","2","emotion","29","odd","ctrl","assistant"
"21","4","emotion","29","odd","light","lumière"
"22","4","emotion","29","odd","light","éclairé"
"23","0","emotion","29","odd","ctrl","fracasser"
"24","3","emotion","29","odd","dark","obscurité"
"25","0","emotion","29","odd","dark","terni"
"26","4","emotion","29","odd","light","ensoleiller"
"27","3","emotion","29","odd","dark","ombrager"
"28","2","emotion","29","odd","dark","foncé"
"29","3","emotion","29","odd","dark","assombrissement"
"30","4","emotion","29","odd","light","scintillant"
"31","0","emotion","29","odd","dark","terne"
"32","4","emotion","29","odd","ctrl","mère"
"33","3","emotion","29","odd","light","luisant"
"34","0","emotion","29","odd","ctrl","cacher"
"35","3","emotion","29","odd","light","luire"
"36","2","emotion","29","odd","ctrl","brève"
"37","4","emotion","29","odd","ctrl","paisible"
"38","2","emotion","29","odd","light","blanchir"
"39","3","emotion","29","odd","light","étinceler"
"40","1","emotion","29","odd","ctrl","personnel"
"41","3","emotion","29","odd","ctrl","charmant"
"42","3","emotion","29","odd","dark","ombrage"
"43","4","emotion","29","odd","ctrl","peuple"
"44","1","emotion","29","odd","dark","ténébreux"
"45","3","emotion","29","odd","light","blanc"
"46","3","emotion","29","odd","dark","ombrant"
"47","3","emotion","29","odd","light","illuminé"
"48","2","emotion","29","odd","ctrl","absent"
"49","4","emotion","29","odd","ctrl","satisfaction"
"50","3","emotion","29","odd","dark","sombre"
"51","0","emotion","29","odd","dark","enténébrer"
"52","4","emotion","29","odd","light","scintiller"
"53","1","emotion","29","odd","dark","ténèbres"
"54","1","emotion","29","odd","dark","ennuager"
"55","2","emotion","29","odd","ctrl","blond"
"56","4","emotion","29","odd","light","illuminer"
"57","2","emotion","29","odd","dark","noir"
"58","1","emotion","29","odd","ctrl","justifier"
"59","3","emotion","29","odd","ctrl","décider"
"60","4","emotion","29","odd","ctrl","renforcer"
"61","0","emotion","29","odd","dark","pénombre"
"62","1","emotion","29","odd","dark","opacifier"
"63","2","emotion","29","odd","dark","obscur"
"64","4","emotion","29","odd","ctrl","familier"
"65","2","emotion","29","odd","light","blanchi"
"66","4","emotion","29","odd","light","luminosité"
"67","1","emotion","29","odd","ctrl","abstenir"
"68","2","emotion","29","odd","dark","opacité"
"69","4","emotion","29","odd","ctrl","auberge"
"70","4","emotion","29","odd","light","jour"
"71","4","emotion","29","odd","light","scintillement"
"72","4","emotion","29","odd","ctrl","généreux"
"73","3","emotion","29","odd","dark","trouble"
"74","1","emotion","29","odd","ctrl","opposé"
"75","4","emotion","29","odd","ctrl","honnête"
"76","1","emotion","29","odd","dark","ombre"
"77","4","emotion","29","odd","ctrl","dessin"
"78","3","emotion","29","odd","light","blanchissement"
"79","3","emotion","29","odd","dark","ombragé"
"80","3","emotion","29","odd","light","éclairer"
"81","4","emotion","29","odd","light","brillance"
"82","3","emotion","29","odd","light","lumineux"
"83","2","emotion","29","odd","dark","noirceur"
"84","4","emotion","29","odd","ctrl","mondial"
"85","2","emotion","29","odd","dark","obscurcissement"
"86","3","emotion","29","odd","light","illuminant"
"87","3","emotion","29","odd","ctrl","scandaleux"
"88","1","emotion","29","odd","dark","ternir"
"89","1","emotion","29","odd","dark","opaque"
"90","3","emotion","29","odd","light","éclaircissement"
"91","4","emotion","29","odd","light","ébloui"
"92","4","emotion","29","odd","ctrl","permettre"
"93","4","emotion","29","odd","light","éclatant"
"94","3","emotion","29","odd","ctrl","photographe"
"95","1","emotion","29","odd","dark","noircir"
"96","3","emotion","29","odd","ctrl","artistique"
"97","2","emotion","29","odd","ctrl","sentimental"
"98","2","emotion","29","odd","ctrl","conséquence"
"99","3","emotion","29","odd","light","étincelant"
"100","1","emotion","29","odd","dark","noirci"
"101","2","emotion","29","odd","dark","nuageux"
"102","4","emotion","29","odd","light","ensoleillé"
"103","0","brightness","29","odd","ctrl","auberge"
"104","3","brightness","29","odd","dark","obscurcir"
"105","1","brightness","29","odd","light","blanchissement"
"106","3","brightness","29","odd","dark","opacifier"
"107","1","brightness","29","odd","ctrl","paisible"
"108","2","brightness","29","odd","ctrl","contraire"
"109","0","brightness","29","odd","light","éclaircissement"
"110","4","brightness","29","odd","dark","obscurité"
"111","2","brightness","29","odd","ctrl","assistant"
"112","1","brightness","29","odd","ctrl","opposé"
"113","0","brightness","29","odd","ctrl","permettre"
"114","2","brightness","29","odd","ctrl","conséquence"
"115","0","brightness","29","odd","light","étincelant"
"116","3","brightness","29","odd","dark","obscur"
"117","3","brightness","29","odd","dark","ombre"
"118","1","brightness","29","odd","light","éclairer"
"119","4","brightness","29","odd","ctrl","cacher"
"120","1","brightness","29","odd","light","blanchir"
"121","0","brightness","29","odd","light","étinceler"
"122","4","brightness","29","odd","ctrl","abandonner"
"123","0","brightness","29","odd","light","éblouissant"
"124","0","brightness","29","odd","ctrl","généreux"
"125","0","brightness","29","odd","light","scintiller"
"126","2","brightness","29","odd","ctrl","brève"
"127","3","brightness","29","odd","dark","pénombre"
"128","1","brightness","29","odd","light","éclaircie"
"129","3","brightness","29","odd","dark","brumeux"
"130","4","brightness","29","odd","dark","nuit"
"131","3","brightness","29","odd","dark","opaque"
"132","1","brightness","29","odd","light","briller"
"133","2","brightness","29","odd","dark","ennuager"
"134","0","brightness","29","odd","ctrl","décider"
"135","2","brightness","29","odd","ctrl","justifier"
"136","1","brightness","29","odd","light","illuminant"
"137","4","brightness","29","odd","dark","pénombre"
"138","0","brightness","29","odd","light","illuminer"
"139","1","brightness","29","odd","light","éclairé"
"140","3","brightness","29","odd","dark","obscurcissement"
"141","1","brightness","29","odd","ctrl","sésame"
"142","0","brightness","29","odd","ctrl","renforcer"
"143","2","brightness","29","odd","dark","sombre"
"144","2","brightness","29","odd","ctrl","sentimental"
"145","1","brightness","29","odd","light","lumière"
"146","4","brightness","29","odd","dark","ténébreux"
"147","3","brightness","29","odd","dark","assombrissement"
"148","3","brightness","29","odd","dark","ternir"
"149","2","brightness","29","odd","dark","nuageux"
"150","1","brightness","29","odd","light","ébloui"
"151","0","brightness","29","odd","light","scintillant"
"152","1","brightness","29","odd","light","ensoleillé"
"153","1","brightness","29","odd","light","luisant"
"154","0","brightness","29","odd","ctrl","nourriture"
"155","2","brightness","29","odd","ctrl","témoin"
"156","4","brightness","29","odd","dark","noir"
"157","1","brightness","29","odd","light","brillant"
"158","3","brightness","29","odd","dark","ombrager"
"159","1","brightness","29","odd","light","scintillement"
"160","0","brightness","29","odd","light","ensoleiller"
"161","1","brightness","29","odd","light","éclatant"
"162","3","brightness","29","odd","dark","ombrant"
"163","1","brightness","29","odd","light","luire"
"164","1","brightness","29","odd","light","luminosité"
"165","4","brightness","29","odd","ctrl","scandaleux"
"166","1","brightness","29","odd","light","illuminé"
"167","4","brightness","29","odd","ctrl","abstenir"
"168","3","brightness","29","odd","dark","terne"
"169","3","brightness","29","odd","dark","ombragé"
"170","0","brightness","29","odd","light","lumineux"
"171","3","brightness","29","odd","dark","noirceur"
"172","0","brightness","29","odd","light","illumination"
"173","2","brightness","29","odd","ctrl","absent"
"174","3","brightness","29","odd","dark","foncé"
"175","1","brightness","29","odd","light","blanchi"
"176","0","brightness","29","odd","ctrl","dessin"
"177","4","brightness","29","odd","dark","noircir"
"178","0","brightness","29","odd","light","jour"
"179","0","brightness","29","odd","light","brillance"
"180","3","brightness","29","odd","dark","opacité"
"181","3","brightness","29","odd","dark","ombrage"
"182","0","brightness","29","odd","ctrl","artistique"
"183","2","brightness","29","odd","ctrl","personnel"
"184","4","brightness","29","odd","ctrl","fracasser"
"185","3","brightness","29","odd","dark","assombrir"
"186","0","brightness","29","odd","ctrl","satisfaction"
"187","0","brightness","29","odd","ctrl","familier"
"188","3","brightness","29","odd","dark","noirci"
"189","0","brightness","29","odd","ctrl","mère"
"190","0","brightness","29","odd","ctrl","mondial"
"191","3","brightness","29","odd","dark","terni"
"192","1","brightness","29","odd","ctrl","photographe"
"193","3","brightness","29","odd","dark","trouble"
"194","4","brightness","29","odd","ctrl","simulé"
"195","1","brightness","29","odd","light","éblouir"
"196","3","brightness","29","odd","dark","enténébrer"
"197","2","brightness","29","odd","dark","insalubre"
"198","0","brightness","29","odd","ctrl","honnête"
"199","0","brightness","29","odd","ctrl","charmant"
"200","0","brightness","29","odd","light","blanc"
"201","3","brightness","29","odd","dark","térébrant"
"202","0","brightness","29","odd","ctrl","peuple"
"203","0","brightness","29","odd","light","blanchiment"
"204","3","brightness","29","odd","dark","ténèbres"
"205","1","brightness","29","odd","ctrl","blond"
