"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","1","brightness","21","odd","light","jour"
"1","2","brightness","21","odd","dark","ombrant"
"2","3","brightness","21","odd","dark","nuageux"
"3","1","brightness","21","odd","light","éclairé"
"4","1","brightness","21","odd","ctrl","nourriture"
"5","3","brightness","21","odd","dark","ténébreux"
"6","3","brightness","21","odd","dark","noirceur"
"7","1","brightness","21","odd","light","lumière"
"8","4","brightness","21","odd","dark","assombrissement"
"9","3","brightness","21","odd","ctrl","conséquence"
"10","0","brightness","21","odd","light","éclaircissement"
"11","2","brightness","21","odd","ctrl","simulé"
"12","3","brightness","21","odd","dark","noirci"
"13","0","brightness","21","odd","light","ébloui"
"14","4","brightness","21","odd","dark","terni"
"15","3","brightness","21","odd","dark","opacité"
"16","1","brightness","21","odd","ctrl","personnel"
"17","2","brightness","21","odd","dark","nuit"
"18","0","brightness","21","odd","light","éblouissant"
"19","4","brightness","21","odd","dark","noir"
"20","1","brightness","21","odd","light","scintiller"
"21","1","brightness","21","odd","light","éblouir"
"22","1","brightness","21","odd","light","ensoleillé"
"23","2","brightness","21","odd","ctrl","sésame"
"24","1","brightness","21","odd","ctrl","permettre"
"25","3","brightness","21","odd","dark","obscur"
"26","4","brightness","21","odd","dark","obscurité"
"27","3","brightness","21","odd","ctrl","assistant"
"28","1","brightness","21","odd","ctrl","artistique"
"29","4","brightness","21","odd","dark","noircir"
"30","1","brightness","21","odd","light","blanchiment"
"31","1","brightness","21","odd","light","luminosité"
"32","1","brightness","21","odd","light","scintillement"
"33","0","brightness","21","odd","ctrl","peuple"
"34","3","brightness","21","odd","dark","ombrage"
"35","1","brightness","21","odd","ctrl","dessin"
"36","1","brightness","21","odd","ctrl","renforcer"
"37","3","brightness","21","odd","dark","terne"
"38","1","brightness","21","odd","light","briller"
"39","1","brightness","21","odd","ctrl","sentimental"
"40","1","brightness","21","odd","light","blanchi"
"41","1","brightness","21","odd","ctrl","charmant"
"42","2","brightness","21","odd","ctrl","témoin"
"43","1","brightness","21","odd","ctrl","satisfaction"
"44","4","brightness","21","odd","dark","obscurcissement"
"45","2","brightness","21","odd","ctrl","contraire"
"46","1","brightness","21","odd","light","blanc"
"47","3","brightness","21","odd","dark","sombre"
"48","2","brightness","21","odd","dark","ombrager"
"49","2","brightness","21","odd","dark","ternir"
"50","2","brightness","21","odd","ctrl","photographe"
"51","2","brightness","21","odd","ctrl","abstenir"
"52","2","brightness","21","odd","ctrl","opposé"
"53","1","brightness","21","odd","ctrl","mondial"
"54","1","brightness","21","odd","light","blanchissement"
"55","1","brightness","21","odd","light","éclairer"
"56","1","brightness","21","odd","light","étincelant"
"57","1","brightness","21","odd","light","étinceler"
"58","2","brightness","21","odd","dark","trouble"
"59","3","brightness","21","odd","dark","pénombre"
"60","1","brightness","21","odd","ctrl","familier"
"61","1","brightness","21","odd","ctrl","décider"
"62","3","brightness","21","odd","dark","pénombre"
"63","2","brightness","21","odd","ctrl","auberge"
"64","3","brightness","21","odd","ctrl","abandonner"
