"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","2","emotion","23","odd","ctrl","opposé"
"1","3","emotion","23","odd","ctrl","satisfaction"
"2","1","emotion","23","odd","dark","obscur"
"3","2","emotion","23","odd","dark","opacité"
"4","2","emotion","23","odd","dark","assombrissement"
"5","3","emotion","23","odd","light","scintillant"
"6","1","emotion","23","odd","ctrl","conséquence"
"7","0","emotion","23","odd","ctrl","blond"
"8","3","emotion","23","odd","light","scintiller"
"9","3","emotion","23","odd","light","luminosité"
"10","3","emotion","23","odd","light","illuminer"
"11","2","emotion","23","odd","ctrl","sésame"
"12","1","emotion","23","odd","ctrl","peuple"
"13","2","emotion","23","odd","light","éclaircie"
"14","2","emotion","23","odd","light","blanc"
"15","2","emotion","23","odd","ctrl","renforcer"
"16","2","emotion","23","odd","ctrl","cacher"
"17","4","emotion","23","odd","ctrl","mère"
"18","3","emotion","23","odd","light","éclatant"
"19","2","emotion","23","odd","dark","nuageux"
"20","2","emotion","23","odd","dark","sombre"
"21","1","emotion","23","odd","light","ébloui"
"22","2","emotion","23","odd","ctrl","justifier"
"23","2","emotion","23","odd","dark","opacifier"
"24","3","emotion","23","odd","ctrl","assistant"
"25","2","emotion","23","odd","dark","terni"
"26","3","emotion","23","odd","light","scintillement"
"27","0","emotion","23","odd","light","éblouissant"
"28","2","emotion","23","odd","dark","insalubre"
"29","3","emotion","23","odd","ctrl","décider"
"30","1","emotion","23","odd","dark","noircir"
"31","2","emotion","23","odd","dark","nuit"
"32","2","emotion","23","odd","light","ensoleiller"
"33","3","emotion","23","odd","ctrl","brève"
"34","2","emotion","23","odd","dark","assombrir"
"35","4","emotion","23","odd","ctrl","simulé"
"36","2","emotion","23","odd","dark","ennuager"
"37","2","emotion","23","odd","dark","obscurcir"
"38","2","emotion","23","odd","dark","obscurcissement"
"39","3","emotion","23","odd","light","luisant"
"40","2","emotion","23","odd","ctrl","artistique"
"41","2","emotion","23","odd","light","blanchir"
"42","2","emotion","23","odd","light","blanchiment"
"43","2","emotion","23","odd","light","étinceler"
"44","2","emotion","23","odd","light","illuminé"
"45","1","emotion","23","odd","dark","opaque"
"46","3","emotion","23","odd","ctrl","personnel"
"47","2","emotion","23","odd","light","illumination"
"48","4","emotion","23","odd","ctrl","nourriture"
"49","1","emotion","23","odd","dark","noirci"
"50","1","emotion","23","odd","dark","noirceur"
"51","3","emotion","23","odd","dark","pénombre"
"52","2","emotion","23","odd","ctrl","scandaleux"
"53","3","emotion","23","odd","light","lumineux"
"54","1","emotion","23","odd","dark","térébrant"
"55","3","emotion","23","odd","ctrl","fracasser"
"56","2","emotion","23","odd","ctrl","auberge"
"57","0","emotion","23","odd","dark","enténébrer"
"58","1","emotion","23","odd","ctrl","dessin"
"59","3","emotion","23","odd","ctrl","mondial"
"60","2","emotion","23","odd","dark","noir"
"61","4","emotion","23","odd","light","éclaircissement"
"62","3","emotion","23","odd","ctrl","paisible"
"63","3","emotion","23","odd","light","illuminant"
"64","3","emotion","23","odd","ctrl","permettre"
"65","1","emotion","23","odd","dark","ombragé"
"66","3","emotion","23","odd","light","brillance"
"67","2","emotion","23","odd","dark","ternir"
"68","1","emotion","23","odd","dark","pénombre"
"69","3","emotion","23","odd","ctrl","familier"
"70","1","emotion","23","odd","dark","ombrager"
"71","2","emotion","23","odd","ctrl","abandonner"
"72","2","emotion","23","odd","ctrl","sentimental"
"73","3","emotion","23","odd","light","ensoleillé"
"74","2","emotion","23","odd","ctrl","témoin"
"75","3","emotion","23","odd","light","éclairer"
"76","1","emotion","23","odd","dark","obscurité"
"77","2","emotion","23","odd","light","blanchissement"
"78","2","emotion","23","odd","ctrl","photographe"
"79","2","emotion","23","odd","dark","ombrage"
"80","3","emotion","23","odd","light","luire"
"81","3","emotion","23","odd","light","blanchi"
"82","3","emotion","23","odd","ctrl","honnête"
"83","2","emotion","23","odd","dark","terne"
"84","3","emotion","23","odd","light","jour"
"85","1","emotion","23","odd","dark","ténèbres"
"86","2","emotion","23","odd","dark","foncé"
"87","3","emotion","23","odd","light","lumière"
"88","1","emotion","23","odd","dark","ombrant"
"89","1","emotion","23","odd","dark","ténébreux"
"90","3","emotion","23","odd","light","brillant"
"91","3","emotion","23","odd","light","briller"
"92","4","emotion","23","odd","ctrl","généreux"
"93","1","emotion","23","odd","dark","ombre"
"94","2","emotion","23","odd","ctrl","absent"
"95","2","emotion","23","odd","dark","brumeux"
"96","3","emotion","23","odd","light","étincelant"
"97","2","emotion","23","odd","ctrl","abstenir"
"98","2","emotion","23","odd","ctrl","contraire"
"99","1","emotion","23","odd","dark","trouble"
"100","3","emotion","23","odd","light","éclairé"
"101","4","emotion","23","odd","ctrl","charmant"
"102","3","emotion","23","odd","light","éblouir"
"103","1","brightness","23","odd","light","étinceler"
"104","1","brightness","23","odd","light","illuminé"
"105","1","brightness","23","odd","ctrl","honnête"
"106","1","brightness","23","odd","light","blanchiment"
"107","1","brightness","23","odd","light","blanc"
"108","0","brightness","23","odd","light","briller"
"109","3","brightness","23","odd","dark","trouble"
"110","3","brightness","23","odd","ctrl","simulé"
"111","2","brightness","23","odd","ctrl","contraire"
"112","1","brightness","23","odd","light","étincelant"
"113","1","brightness","23","odd","light","luminosité"
"114","2","brightness","23","odd","ctrl","cacher"
"115","1","brightness","23","odd","dark","pénombre"
"116","3","brightness","23","odd","dark","brumeux"
"117","1","brightness","23","odd","light","illumination"
"118","1","brightness","23","odd","ctrl","paisible"
"119","1","brightness","23","odd","ctrl","peuple"
"120","3","brightness","23","odd","dark","ténèbres"
"121","3","brightness","23","odd","dark","insalubre"
"122","3","brightness","23","odd","dark","ombre"
"123","3","brightness","23","odd","dark","ombrage"
"124","1","brightness","23","odd","light","éblouir"
