"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","4","emotion","26","even","light","ensoleillé"
"1","0","emotion","26","even","dark","assombrir"
"2","3","emotion","26","even","ctrl","renforcer"
"3","3","emotion","26","even","light","jour"
"4","1","emotion","26","even","ctrl","scandaleux"
"5","3","emotion","26","even","light","blanchiment"
"6","1","emotion","26","even","ctrl","absent"
"7","1","emotion","26","even","dark","ternir"
"8","3","emotion","26","even","light","blanchir"
"9","2","emotion","26","even","ctrl","assistant"
"10","3","emotion","26","even","light","lumineux"
"11","2","emotion","26","even","dark","nuit"
"12","0","emotion","26","even","ctrl","abandonner"
"13","2","emotion","26","even","ctrl","conséquence"
"14","2","emotion","26","even","dark","ombrager"
"15","0","emotion","26","even","dark","noirceur"
"16","4","emotion","26","even","ctrl","paisible"
"17","3","emotion","26","even","dark","ombragé"
"18","2","emotion","26","even","ctrl","mondial"
"19","3","emotion","26","even","ctrl","personnel"
"20","1","emotion","26","even","dark","noirci"
"21","4","emotion","26","even","light","illumination"
"22","4","emotion","26","even","ctrl","artistique"
"23","0","emotion","26","even","dark","terne"
"24","3","emotion","26","even","light","éclaircie"
"25","4","emotion","26","even","light","illuminer"
"26","3","emotion","26","even","light","étincelant"
"27","3","emotion","26","even","light","éblouissant"
"28","3","emotion","26","even","light","blanchi"
"29","2","emotion","26","even","ctrl","blond"
"30","1","emotion","26","even","dark","noircir"
"31","0","emotion","26","even","ctrl","fracasser"
"32","1","emotion","26","even","dark","assombrissement"
"33","3","emotion","26","even","ctrl","mère"
"34","2","emotion","26","even","light","blanc"
"35","3","emotion","26","even","light","illuminé"
"36","1","emotion","26","even","dark","opaque"
"37","1","emotion","26","even","dark","opacifier"
"38","1","emotion","26","even","light","éclatant"
"39","2","emotion","26","even","ctrl","cacher"
"40","3","emotion","26","even","ctrl","charmant"
"41","1","emotion","26","even","dark","pénombre"
"42","0","emotion","26","even","dark","terni"
"43","3","emotion","26","even","light","scintillement"
"44","2","emotion","26","even","ctrl","brève"
"45","3","emotion","26","even","light","ébloui"
"46","2","emotion","26","even","ctrl","justifier"
"47","2","emotion","26","even","dark","térébrant"
"48","2","emotion","26","even","dark","noir"
"49","3","emotion","26","even","light","luisant"
"50","4","emotion","26","even","ctrl","permettre"
"51","3","emotion","26","even","light","brillant"
"52","2","emotion","26","even","dark","foncé"
"53","3","emotion","26","even","dark","ténébreux"
"54","4","emotion","26","even","ctrl","satisfaction"
"55","1","emotion","26","even","dark","ennuager"
"56","4","emotion","26","even","light","ensoleiller"
"57","2","emotion","26","even","ctrl","contraire"
"58","1","emotion","26","even","dark","trouble"
"59","4","emotion","26","even","ctrl","honnête"
"60","3","emotion","26","even","light","éclaircissement"
"61","3","emotion","26","even","light","briller"
"62","1","emotion","26","even","dark","opacité"
"63","3","emotion","26","even","ctrl","généreux"
"64","1","emotion","26","even","dark","nuageux"
"65","4","emotion","26","even","ctrl","auberge"
"66","1","emotion","26","even","dark","obscurcissement"
"67","0","emotion","26","even","dark","insalubre"
"68","0","emotion","26","even","dark","enténébrer"
"69","3","emotion","26","even","light","éclairer"
"70","3","emotion","26","even","light","brillance"
"71","1","emotion","26","even","dark","ombrage"
"72","2","emotion","26","even","ctrl","témoin"
"73","3","emotion","26","even","ctrl","dessin"
"74","1","emotion","26","even","dark","pénombre"
"75","3","emotion","26","even","ctrl","photographe"
"76","1","emotion","26","even","dark","obscurité"
"77","3","emotion","26","even","light","luminosité"
"78","3","emotion","26","even","light","luire"
"79","2","emotion","26","even","ctrl","opposé"
"80","3","emotion","26","even","ctrl","familier"
"81","1","emotion","26","even","ctrl","simulé"
"82","1","emotion","26","even","dark","brumeux"
"83","3","emotion","26","even","light","éblouir"
"84","1","emotion","26","even","dark","ombrant"
"85","3","emotion","26","even","ctrl","sentimental"
"86","3","emotion","26","even","light","étinceler"
"87","1","emotion","26","even","dark","obscur"
"88","4","emotion","26","even","light","lumière"
"89","1","emotion","26","even","dark","ténèbres"
"90","3","emotion","26","even","light","illuminant"
"91","3","emotion","26","even","light","éclairé"
"92","4","emotion","26","even","ctrl","décider"
"93","2","emotion","26","even","ctrl","sésame"
"94","2","emotion","26","even","ctrl","abstenir"
"95","2","emotion","26","even","ctrl","peuple"
"96","3","emotion","26","even","light","scintillant"
"97","3","emotion","26","even","light","scintiller"
"98","3","emotion","26","even","light","blanchissement"
"99","1","emotion","26","even","dark","sombre"
"100","2","emotion","26","even","dark","ombre"
"101","4","emotion","26","even","ctrl","nourriture"
"102","1","emotion","26","even","dark","obscurcir"
"103","1","brightness","26","even","light","blanchissement"
"104","1","brightness","26","even","ctrl","blond"
"105","2","brightness","26","even","ctrl","sésame"
"106","2","brightness","26","even","ctrl","auberge"
"107","3","brightness","26","even","dark","ténébreux"
"108","2","brightness","26","even","dark","terne"
"109","1","brightness","26","even","light","blanc"
"110","1","brightness","26","even","light","scintiller"
"111","2","brightness","26","even","ctrl","absent"
"112","3","brightness","26","even","dark","assombrir"
"113","4","brightness","26","even","dark","enténébrer"
"114","1","brightness","26","even","ctrl","généreux"
"115","4","brightness","26","even","dark","assombrissement"
"116","1","brightness","26","even","light","blanchi"
"117","3","brightness","26","even","dark","noirceur"
"118","2","brightness","26","even","dark","térébrant"
"119","2","brightness","26","even","ctrl","charmant"
"120","2","brightness","26","even","ctrl","satisfaction"
"121","3","brightness","26","even","dark","opacifier"
"122","2","brightness","26","even","ctrl","personnel"
"123","1","brightness","26","even","light","briller"
"124","1","brightness","26","even","light","éclairé"
"125","0","brightness","26","even","light","éblouir"
"126","3","brightness","26","even","dark","nuageux"
"127","0","brightness","26","even","light","étinceler"
"128","2","brightness","26","even","ctrl","renforcer"
"129","3","brightness","26","even","dark","opaque"
"130","0","brightness","26","even","light","lumière"
"131","2","brightness","26","even","ctrl","assistant"
"132","2","brightness","26","even","ctrl","abstenir"
"133","3","brightness","26","even","dark","trouble"
"134","1","brightness","26","even","ctrl","paisible"
"135","0","brightness","26","even","light","éblouissant"
"136","3","brightness","26","even","dark","pénombre"
"137","1","brightness","26","even","light","éclairer"
"138","0","brightness","26","even","light","illumination"
"139","2","brightness","26","even","ctrl","contraire"
"140","3","brightness","26","even","ctrl","abandonner"
"141","2","brightness","26","even","ctrl","décider"
"142","1","brightness","26","even","light","lumineux"
"143","2","brightness","26","even","ctrl","dessin"
"144","2","brightness","26","even","ctrl","peuple"
"145","2","brightness","26","even","ctrl","familier"
"146","4","brightness","26","even","dark","obscur"
"147","2","brightness","26","even","ctrl","mère"
"148","0","brightness","26","even","light","illuminer"
"149","3","brightness","26","even","dark","terni"
"150","1","brightness","26","even","light","luisant"
"151","3","brightness","26","even","dark","opacité"
"152","1","brightness","26","even","light","brillant"
"153","3","brightness","26","even","dark","ombrager"
"154","2","brightness","26","even","ctrl","photographe"
"155","2","brightness","26","even","ctrl","cacher"
"156","3","brightness","26","even","dark","ombre"
"157","2","brightness","26","even","ctrl","permettre"
"158","2","brightness","26","even","ctrl","conséquence"
"159","4","brightness","26","even","dark","nuit"
"160","1","brightness","26","even","light","éclatant"
"161","0","brightness","26","even","light","ensoleillé"
"162","2","brightness","26","even","ctrl","artistique"
"163","1","brightness","26","even","light","ébloui"
"164","1","brightness","26","even","light","scintillant"
"165","2","brightness","26","even","ctrl","mondial"
"166","1","brightness","26","even","light","éclaircissement"
"167","0","brightness","26","even","light","étincelant"
"168","0","brightness","26","even","light","scintillement"
"169","4","brightness","26","even","dark","pénombre"
"170","3","brightness","26","even","dark","noircir"
"171","3","brightness","26","even","dark","ombragé"
"172","0","brightness","26","even","light","ensoleiller"
"173","3","brightness","26","even","dark","obscurité"
"174","3","brightness","26","even","dark","noirci"
"175","3","brightness","26","even","dark","noir"
"176","1","brightness","26","even","light","illuminant"
"177","1","brightness","26","even","light","éclaircie"
"178","3","brightness","26","even","dark","ténèbres"
"179","1","brightness","26","even","light","luminosité"
"180","3","brightness","26","even","dark","sombre"
"181","1","brightness","26","even","light","blanchir"
"182","2","brightness","26","even","ctrl","opposé"
"183","2","brightness","26","even","ctrl","justifier"
"184","2","brightness","26","even","ctrl","témoin"
"185","3","brightness","26","even","ctrl","scandaleux"
"186","0","brightness","26","even","light","illuminé"
"187","3","brightness","26","even","dark","ennuager"
"188","3","brightness","26","even","dark","ombrant"
"189","2","brightness","26","even","ctrl","honnête"
"190","1","brightness","26","even","light","jour"
"191","3","brightness","26","even","dark","obscurcir"
"192","1","brightness","26","even","light","blanchiment"
"193","3","brightness","26","even","dark","foncé"
"194","3","brightness","26","even","dark","ombrage"
"195","2","brightness","26","even","ctrl","simulé"
"196","2","brightness","26","even","ctrl","brève"
"197","1","brightness","26","even","ctrl","nourriture"
"198","3","brightness","26","even","ctrl","fracasser"
"199","0","brightness","26","even","light","brillance"
"200","3","brightness","26","even","dark","brumeux"
"201","1","brightness","26","even","light","luire"
"202","2","brightness","26","even","ctrl","sentimental"
"203","3","brightness","26","even","dark","ternir"
"204","3","brightness","26","even","dark","obscurcissement"
"205","2","brightness","26","even","dark","insalubre"
