"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","3","emotion","1","odd","light","éclaircie"
"1","3","emotion","1","odd","light","briller"
"2","3","emotion","1","odd","ctrl","auberge"
"3","2","emotion","1","odd","ctrl","sésame"
"4","3","emotion","1","odd","dark","sombre"
"5","3","emotion","1","odd","ctrl","photographe"
"6","3","emotion","1","odd","dark","pénombre"
"7","3","emotion","1","odd","light","lumineux"
"8","3","emotion","1","odd","dark","opaque"
"9","3","emotion","1","odd","dark","noirci"
"10","3","emotion","1","odd","light","blanchiment"
"11","3","emotion","1","odd","dark","ombre"
"12","3","emotion","1","odd","light","illuminer"
"13","3","emotion","1","odd","dark","obscur"
"14","3","emotion","1","odd","ctrl","familier"
"15","2","emotion","1","odd","ctrl","contraire"
"16","4","emotion","1","odd","light","illumination"
"17","3","emotion","1","odd","ctrl","permettre"
"18","2","emotion","1","odd","ctrl","mère"
"19","3","emotion","1","odd","dark","nuageux"
"20","3","emotion","1","odd","ctrl","sentimental"
"21","3","emotion","1","odd","light","blanchir"
"22","2","emotion","1","odd","dark","insalubre"
"23","4","emotion","1","odd","dark","ombrager"
"24","3","emotion","1","odd","light","luisant"
"25","2","emotion","1","odd","ctrl","renforcer"
"26","3","emotion","1","odd","ctrl","abstenir"
"27","3","emotion","1","odd","light","éblouissant"
"28","3","emotion","1","odd","dark","noir"
"29","3","emotion","1","odd","ctrl","conséquence"
"30","3","emotion","1","odd","dark","obscurcir"
"31","3","emotion","1","odd","dark","opacité"
"32","3","emotion","1","odd","ctrl","mondial"
"33","4","emotion","1","odd","ctrl","dessin"
"34","1","emotion","1","odd","light","ensoleiller"
"35","3","emotion","1","odd","ctrl","charmant"
"36","3","emotion","1","odd","light","scintillant"
"37","3","emotion","1","odd","dark","enténébrer"
"38","2","emotion","1","odd","dark","ténébreux"
"39","1","emotion","1","odd","ctrl","abandonner"
"40","4","emotion","1","odd","ctrl","nourriture"
"41","3","emotion","1","odd","light","scintillement"
"42","3","emotion","1","odd","dark","foncé"
"43","3","emotion","1","odd","light","illuminant"
"44","3","emotion","1","odd","light","scintiller"
"45","3","emotion","1","odd","light","jour"
"46","3","emotion","1","odd","dark","assombrir"
"47","4","emotion","1","odd","ctrl","blond"
"48","3","emotion","1","odd","light","blanchi"
"49","3","emotion","1","odd","dark","brumeux"
"50","3","emotion","1","odd","light","brillant"
"51","2","emotion","1","odd","ctrl","honnête"
"52","3","emotion","1","odd","dark","ombrage"
"53","3","emotion","1","odd","dark","ténèbres"
"54","3","emotion","1","odd","ctrl","brève"
"55","4","emotion","1","odd","ctrl","satisfaction"
"56","3","emotion","1","odd","dark","noircir"
"57","3","emotion","1","odd","light","éclairé"
"58","3","emotion","1","odd","ctrl","justifier"
"59","3","emotion","1","odd","ctrl","témoin"
"60","3","emotion","1","odd","ctrl","simulé"
"61","3","emotion","1","odd","ctrl","décider"
"62","2","emotion","1","odd","dark","pénombre"
"63","3","emotion","1","odd","dark","terne"
"64","4","emotion","1","odd","dark","nuit"
"65","3","emotion","1","odd","dark","ombrant"
"66","3","emotion","1","odd","dark","ennuager"
"67","4","emotion","1","odd","ctrl","fracasser"
"68","2","emotion","1","odd","dark","terni"
"69","3","emotion","1","odd","dark","opacifier"
"70","3","emotion","1","odd","ctrl","personnel"
"71","3","emotion","1","odd","light","éclatant"
"72","4","emotion","1","odd","ctrl","paisible"
"73","3","emotion","1","odd","light","ébloui"
"74","3","emotion","1","odd","light","éclairer"
"75","3","emotion","1","odd","light","éclaircissement"
"76","2","emotion","1","odd","light","brillance"
"77","3","emotion","1","odd","ctrl","peuple"
"78","3","emotion","1","odd","light","luire"
"79","3","emotion","1","odd","ctrl","généreux"
"80","3","emotion","1","odd","light","éblouir"
"81","3","emotion","1","odd","light","étinceler"
"82","3","emotion","1","odd","light","luminosité"
"83","3","emotion","1","odd","ctrl","artistique"
"84","3","emotion","1","odd","ctrl","cacher"
"85","3","emotion","1","odd","light","ensoleillé"
"86","3","emotion","1","odd","ctrl","scandaleux"
"87","3","emotion","1","odd","light","blanc"
"88","3","emotion","1","odd","light","étincelant"
"89","3","emotion","1","odd","dark","assombrissement"
"90","3","emotion","1","odd","light","lumière"
"91","3","emotion","1","odd","ctrl","opposé"
"92","2","emotion","1","odd","ctrl","assistant"
"93","3","emotion","1","odd","dark","noirceur"
"94","3","emotion","1","odd","dark","ombragé"
"95","3","emotion","1","odd","dark","obscurité"
"96","2","emotion","1","odd","dark","trouble"
"97","3","emotion","1","odd","ctrl","absent"
"98","3","emotion","1","odd","dark","térébrant"
"99","3","emotion","1","odd","dark","obscurcissement"
"100","3","emotion","1","odd","dark","ternir"
"101","3","emotion","1","odd","light","illuminé"
"102","3","emotion","1","odd","light","blanchissement"
"103","1","brightness","1","odd","ctrl","renforcer"
"104","3","brightness","1","odd","ctrl","artistique"
"105","2","brightness","1","odd","ctrl","paisible"
