"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","2","emotion","4","even","ctrl","assistant"
"1","3","emotion","4","even","ctrl","paisible"
"2","1","emotion","4","even","ctrl","brève"
"3","0","emotion","4","even","dark","sombre"
"4","4","emotion","4","even","light","illuminer"
"5","4","emotion","4","even","light","éclaircie"
"6","3","emotion","4","even","ctrl","décider"
"7","1","emotion","4","even","ctrl","contraire"
"8","3","emotion","4","even","light","lumière"
"9","1","emotion","4","even","dark","ennuager"
"10","2","emotion","4","even","ctrl","mondial"
"11","2","emotion","4","even","ctrl","sésame"
"12","0","emotion","4","even","dark","insalubre"
"13","3","emotion","4","even","ctrl","honnête"
"14","1","emotion","4","even","dark","enténébrer"
"15","2","emotion","4","even","ctrl","photographe"
"16","1","emotion","4","even","dark","ombre"
"17","3","emotion","4","even","light","briller"
"18","4","emotion","4","even","light","éblouissant"
"19","3","emotion","4","even","light","blanchissement"
"20","1","emotion","4","even","dark","assombrissement"
"21","3","emotion","4","even","ctrl","permettre"
"22","1","emotion","4","even","dark","obscurcissement"
"23","3","emotion","4","even","light","luminosité"
"24","1","emotion","4","even","ctrl","absent"
"25","0","emotion","4","even","ctrl","abandonner"
"26","1","emotion","4","even","dark","noirci"
"27","1","emotion","4","even","ctrl","simulé"
"28","1","emotion","4","even","ctrl","abstenir"
"29","3","emotion","4","even","ctrl","satisfaction"
"30","2","emotion","4","even","ctrl","personnel"
"31","1","emotion","4","even","dark","ternir"
"32","1","emotion","4","even","ctrl","scandaleux"
"33","1","emotion","4","even","dark","nuageux"
"34","3","emotion","4","even","light","ensoleiller"
"35","3","emotion","4","even","light","ensoleillé"
"36","1","emotion","4","even","dark","pénombre"
"37","3","emotion","4","even","ctrl","dessin"
"38","1","emotion","4","even","ctrl","cacher"
"39","0","emotion","4","even","dark","térébrant"
"40","2","emotion","4","even","dark","ténébreux"
"41","3","emotion","4","even","light","scintiller"
"42","0","emotion","4","even","dark","assombrir"
"43","1","emotion","4","even","ctrl","opposé"
"44","4","emotion","4","even","ctrl","généreux"
"45","4","emotion","4","even","light","éclaircissement"
"46","0","emotion","4","even","dark","noircir"
"47","3","emotion","4","even","ctrl","artistique"
"48","1","emotion","4","even","dark","opaque"
"49","3","emotion","4","even","light","étinceler"
"50","3","emotion","4","even","ctrl","renforcer"
"51","3","emotion","4","even","light","étincelant"
"52","3","emotion","4","even","ctrl","nourriture"
"53","1","emotion","4","even","dark","obscurcir"
"54","3","emotion","4","even","light","éclatant"
"55","3","emotion","4","even","light","scintillement"
"56","1","emotion","4","even","dark","opacité"
"57","2","emotion","4","even","ctrl","conséquence"
"58","1","emotion","4","even","dark","ombrager"
"59","1","emotion","4","even","dark","terne"
"60","0","emotion","4","even","dark","trouble"
"61","3","emotion","4","even","light","blanc"
"62","1","emotion","4","even","ctrl","fracasser"
"63","1","emotion","4","even","dark","terni"
"64","2","emotion","4","even","light","blanchiment"
"65","3","emotion","4","even","light","luisant"
"66","1","emotion","4","even","dark","ténèbres"
"67","3","emotion","4","even","light","ébloui"
"68","2","emotion","4","even","ctrl","auberge"
"69","1","emotion","4","even","dark","noirceur"
"70","3","emotion","4","even","ctrl","peuple"
"71","3","emotion","4","even","light","illuminant"
"72","2","emotion","4","even","ctrl","témoin"
"73","1","emotion","4","even","dark","brumeux"
"74","3","emotion","4","even","light","illuminé"
"75","3","emotion","4","even","light","éclairer"
"76","3","emotion","4","even","light","lumineux"
"77","1","emotion","4","even","dark","foncé"
"78","3","emotion","4","even","ctrl","charmant"
"79","3","emotion","4","even","light","jour"
"80","3","emotion","4","even","light","blanchir"
"81","3","emotion","4","even","ctrl","familier"
"82","3","emotion","4","even","light","brillant"
"83","1","emotion","4","even","dark","obscurité"
"84","3","emotion","4","even","light","scintillant"
"85","3","emotion","4","even","light","éclairé"
"86","1","emotion","4","even","dark","pénombre"
"87","3","emotion","4","even","dark","ombrage"
"88","3","emotion","4","even","light","luire"
"89","3","emotion","4","even","light","illumination"
"90","3","emotion","4","even","ctrl","mère"
"91","3","emotion","4","even","light","blanchi"
"92","1","emotion","4","even","dark","obscur"
"93","1","emotion","4","even","dark","ombrant"
"94","3","emotion","4","even","ctrl","blond"
"95","3","emotion","4","even","dark","ombragé"
