"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","1","brightness","25","odd","ctrl","mondial"
"1","4","brightness","25","odd","dark","insalubre"
"2","2","brightness","25","odd","ctrl","décider"
"3","1","brightness","25","odd","ctrl","familier"
"4","3","brightness","25","odd","dark","ombrant"
"5","0","brightness","25","odd","light","illumination"
"6","1","brightness","25","odd","ctrl","renforcer"
"7","4","brightness","25","odd","dark","ténèbres"
"8","2","brightness","25","odd","ctrl","conséquence"
"9","4","brightness","25","odd","dark","noirceur"
"10","0","brightness","25","odd","light","éclaircissement"
"11","4","brightness","25","odd","dark","obscurité"
"12","3","brightness","25","odd","ctrl","opposé"
"13","0","brightness","25","odd","light","ensoleiller"
"14","1","brightness","25","odd","light","blanchir"
"15","1","brightness","25","odd","light","jour"
"16","3","brightness","25","odd","ctrl","scandaleux"
"17","1","brightness","25","odd","light","luisant"
"18","3","brightness","25","odd","dark","brumeux"
"19","4","brightness","25","odd","dark","ténébreux"
"20","0","brightness","25","odd","light","éblouir"
"21","2","brightness","25","odd","dark","opacifier"
"22","0","brightness","25","odd","light","ensoleillé"
"23","3","brightness","25","odd","dark","obscurcissement"
"24","1","brightness","25","odd","ctrl","blond"
"25","3","brightness","25","odd","dark","nuageux"
"26","3","brightness","25","odd","dark","ombre"
"27","3","brightness","25","odd","dark","assombrissement"
"28","1","brightness","25","odd","light","éclatant"
"29","3","brightness","25","odd","dark","terne"
"30","3","brightness","25","odd","dark","ombragé"
"31","0","brightness","25","odd","ctrl","charmant"
"32","2","brightness","25","odd","ctrl","témoin"
"33","0","brightness","25","odd","light","éblouissant"
"34","3","brightness","25","odd","ctrl","abandonner"
"35","3","brightness","25","odd","dark","obscur"
"36","1","brightness","25","odd","light","illuminant"
"37","2","brightness","25","odd","ctrl","absent"
"38","1","brightness","25","odd","light","brillance"
"39","1","brightness","25","odd","ctrl","satisfaction"
"40","3","brightness","25","odd","dark","assombrir"
"41","3","brightness","25","odd","ctrl","fracasser"
"42","1","brightness","25","odd","ctrl","permettre"
"43","2","brightness","25","odd","ctrl","sésame"
"44","2","brightness","25","odd","ctrl","peuple"
"45","3","brightness","25","odd","dark","pénombre"
"46","3","brightness","25","odd","dark","trouble"
"47","2","brightness","25","odd","ctrl","nourriture"
"48","3","brightness","25","odd","dark","foncé"
"49","1","brightness","25","odd","light","éclairer"
"50","3","brightness","25","odd","ctrl","simulé"
"51","3","brightness","25","odd","dark","sombre"
"52","2","brightness","25","odd","ctrl","abstenir"
"53","1","brightness","25","odd","ctrl","sentimental"
"54","1","brightness","25","odd","light","luire"
"55","3","brightness","25","odd","ctrl","brève"
"56","3","brightness","25","odd","dark","noirci"
"57","3","brightness","25","odd","dark","opacité"
"58","3","brightness","25","odd","dark","ombrage"
"59","0","brightness","25","odd","light","illuminer"
"60","1","brightness","25","odd","light","éclairé"
"61","3","brightness","25","odd","dark","pénombre"
"62","1","brightness","25","odd","light","scintillant"
"63","3","brightness","25","odd","dark","noircir"
"64","2","brightness","25","odd","ctrl","cacher"
"65","3","brightness","25","odd","dark","nuit"
"66","1","brightness","25","odd","ctrl","justifier"
"67","0","brightness","25","odd","light","blanchiment"
"68","4","brightness","25","odd","dark","noir"
"69","1","brightness","25","odd","light","lumière"
"70","1","brightness","25","odd","light","briller"
"71","3","brightness","25","odd","dark","ennuager"
"72","2","brightness","25","odd","ctrl","dessin"
"73","1","brightness","25","odd","light","blanchi"
"74","1","brightness","25","odd","light","brillant"
"75","1","brightness","25","odd","ctrl","honnête"
"76","4","brightness","25","odd","dark","enténébrer"
"77","2","brightness","25","odd","ctrl","auberge"
"78","3","brightness","25","odd","dark","terni"
"79","1","brightness","25","odd","ctrl","paisible"
"80","2","brightness","25","odd","ctrl","personnel"
"81","2","brightness","25","odd","ctrl","assistant"
"82","1","brightness","25","odd","light","scintiller"
"83","1","brightness","25","odd","light","étinceler"
"84","2","brightness","25","odd","ctrl","photographe"
"85","4","brightness","25","odd","dark","térébrant"
"86","1","brightness","25","odd","ctrl","artistique"
"87","3","brightness","25","odd","dark","obscurcir"
"88","3","brightness","25","odd","ctrl","contraire"
"89","1","brightness","25","odd","light","luminosité"
"90","1","brightness","25","odd","light","blanc"
"91","3","brightness","25","odd","dark","opaque"
"92","3","brightness","25","odd","dark","ombrager"
"93","3","brightness","25","odd","dark","ternir"
"94","1","brightness","25","odd","ctrl","généreux"
"95","1","brightness","25","odd","light","scintillement"
"96","1","brightness","25","odd","light","lumineux"
"97","0","brightness","25","odd","ctrl","mère"
"98","1","brightness","25","odd","light","ébloui"
"99","1","brightness","25","odd","light","éclaircie"
"100","1","brightness","25","odd","light","illuminé"
"101","1","brightness","25","odd","light","étincelant"
"102","1","brightness","25","odd","light","blanchissement"
"103","2","emotion","25","odd","ctrl","mondial"
"104","1","emotion","25","odd","dark","ombrant"
"105","1","emotion","25","odd","dark","obscur"
"106","1","emotion","25","odd","dark","opacité"
"107","1","emotion","25","odd","dark","térébrant"
"108","3","emotion","25","odd","light","scintillement"
"109","1","emotion","25","odd","ctrl","fracasser"
"110","3","emotion","25","odd","light","éclairé"
"111","3","emotion","25","odd","light","blanc"
"112","4","emotion","25","odd","light","éclaircie"
"113","3","emotion","25","odd","light","luire"
"114","3","emotion","25","odd","light","étinceler"
"115","1","emotion","25","odd","dark","brumeux"
"116","3","emotion","25","odd","ctrl","généreux"
"117","3","emotion","25","odd","light","lumineux"
"118","3","emotion","25","odd","ctrl","satisfaction"
"119","1","emotion","25","odd","dark","sombre"
"120","3","emotion","25","odd","ctrl","renforcer"
"121","3","emotion","25","odd","light","blanchiment"
"122","3","emotion","25","odd","ctrl","sentimental"
"123","3","emotion","25","odd","ctrl","artistique"
"124","1","emotion","25","odd","dark","pénombre"
"125","3","emotion","25","odd","light","brillant"
"126","4","emotion","25","odd","light","illuminé"
"127","1","emotion","25","odd","dark","pénombre"
"128","0","emotion","25","odd","ctrl","simulé"
"129","1","emotion","25","odd","ctrl","brève"
"130","3","emotion","25","odd","dark","nuit"
"131","1","emotion","25","odd","dark","ennuager"
"132","4","emotion","25","odd","ctrl","assistant"
"133","2","emotion","25","odd","dark","noir"
"134","1","emotion","25","odd","dark","nuageux"
"135","2","emotion","25","odd","ctrl","conséquence"
"136","1","emotion","25","odd","ctrl","absent"
"137","3","emotion","25","odd","light","éblouissant"
"138","1","emotion","25","odd","dark","noirci"
"139","2","emotion","25","odd","ctrl","justifier"
"140","2","emotion","25","odd","dark","opacifier"
"141","3","emotion","25","odd","light","brillance"
"142","1","emotion","25","odd","dark","trouble"
"143","3","emotion","25","odd","light","blanchir"
"144","1","emotion","25","odd","ctrl","abandonner"
"145","0","emotion","25","odd","dark","foncé"
"146","3","emotion","25","odd","ctrl","décider"
"147","3","emotion","25","odd","ctrl","photographe"
"148","3","emotion","25","odd","dark","ombragé"
"149","4","emotion","25","odd","light","illumination"
"150","4","emotion","25","odd","ctrl","mère"
"151","3","emotion","25","odd","light","éblouir"
"152","3","emotion","25","odd","light","illuminant"
"153","3","emotion","25","odd","light","blanchi"
"154","3","emotion","25","odd","light","éclairer"
"155","1","emotion","25","odd","dark","ternir"
"156","1","emotion","25","odd","dark","terni"
"157","3","emotion","25","odd","light","ensoleillé"
"158","2","emotion","25","odd","ctrl","peuple"
"159","3","emotion","25","odd","ctrl","permettre"
"160","3","emotion","25","odd","light","scintillant"
"161","3","emotion","25","odd","ctrl","familier"
"162","1","emotion","25","odd","dark","obscurité"
"163","3","emotion","25","odd","light","ensoleiller"
"164","3","emotion","25","odd","light","luisant"
"165","1","emotion","25","odd","ctrl","contraire"
"166","3","emotion","25","odd","light","éclaircissement"
"167","4","emotion","25","odd","ctrl","paisible"
"168","1","emotion","25","odd","dark","obscurcir"
"169","1","emotion","25","odd","dark","noirceur"
"170","3","emotion","25","odd","light","éclatant"
"171","3","emotion","25","odd","ctrl","nourriture"
"172","1","emotion","25","odd","ctrl","sésame"
"173","1","emotion","25","odd","ctrl","scandaleux"
"174","3","emotion","25","odd","light","scintiller"
"175","3","emotion","25","odd","light","blanchissement"
"176","3","emotion","25","odd","ctrl","honnête"
"177","2","emotion","25","odd","ctrl","témoin"
"178","3","emotion","25","odd","ctrl","charmant"
"179","1","emotion","25","odd","dark","terne"
"180","0","emotion","25","odd","dark","enténébrer"
"181","3","emotion","25","odd","dark","ombrage"
"182","2","emotion","25","odd","ctrl","personnel"
"183","1","emotion","25","odd","dark","opaque"
"184","3","emotion","25","odd","light","luminosité"
"185","1","emotion","25","odd","ctrl","opposé"
"186","1","emotion","25","odd","ctrl","abstenir"
"187","3","emotion","25","odd","light","illuminer"
"188","1","emotion","25","odd","dark","obscurcissement"
"189","1","emotion","25","odd","dark","ombre"
"190","3","emotion","25","odd","light","jour"
"191","3","emotion","25","odd","ctrl","dessin"
"192","1","emotion","25","odd","dark","ténébreux"
"193","0","emotion","25","odd","dark","insalubre"
"194","3","emotion","25","odd","light","briller"
"195","1","emotion","25","odd","dark","assombrissement"
"196","3","emotion","25","odd","ctrl","blond"
"197","3","emotion","25","odd","light","ébloui"
"198","1","emotion","25","odd","dark","ombrager"
"199","1","emotion","25","odd","dark","noircir"
"200","1","emotion","25","odd","dark","assombrir"
"201","3","emotion","25","odd","light","lumière"
"202","2","emotion","25","odd","ctrl","auberge"
"203","1","emotion","25","odd","dark","ténèbres"
"204","3","emotion","25","odd","light","étincelant"
"205","3","emotion","25","odd","ctrl","cacher"
