"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","3","brightness","20","even","dark","ennuager"
"1","1","brightness","20","even","light","lumière"
"2","2","brightness","20","even","ctrl","brève"
"3","0","brightness","20","even","light","éblouir"
"4","3","brightness","20","even","dark","ombragé"
"5","1","brightness","20","even","light","scintillant"
"6","4","brightness","20","even","dark","enténébrer"
"7","1","brightness","20","even","ctrl","justifier"
"8","1","brightness","20","even","light","luisant"
"9","2","brightness","20","even","dark","ternir"
"10","1","brightness","20","even","ctrl","auberge"
"11","1","brightness","20","even","ctrl","nourriture"
"12","2","brightness","20","even","ctrl","opposé"
"13","3","brightness","20","even","dark","obscurcissement"
"14","1","brightness","20","even","light","blanchi"
"15","3","brightness","20","even","dark","nuageux"
"16","2","brightness","20","even","ctrl","peuple"
"17","2","brightness","20","even","ctrl","mondial"
"18","3","brightness","20","even","ctrl","scandaleux"
"19","0","brightness","20","even","light","éblouissant"
"20","3","brightness","20","even","dark","foncé"
"21","0","brightness","20","even","light","illuminé"
"22","3","brightness","20","even","dark","sombre"
"23","1","brightness","20","even","light","éclairer"
"24","0","brightness","20","even","light","illuminer"
"25","3","brightness","20","even","dark","obscurité"
"26","0","brightness","20","even","light","éclatant"
"27","2","brightness","20","even","ctrl","contraire"
"28","3","brightness","20","even","ctrl","abandonner"
"29","3","brightness","20","even","dark","ombre"
"30","4","brightness","20","even","dark","térébrant"
"31","2","brightness","20","even","ctrl","assistant"
"32","1","brightness","20","even","light","scintillement"
"33","1","brightness","20","even","light","scintiller"
"34","4","brightness","20","even","dark","noirceur"
"35","2","brightness","20","even","ctrl","charmant"
"36","1","brightness","20","even","light","blanchir"
"37","1","brightness","20","even","light","ensoleillé"
"38","2","brightness","20","even","ctrl","permettre"
"39","1","brightness","20","even","light","brillant"
"40","3","brightness","20","even","dark","opacifier"
"41","3","brightness","20","even","dark","nuit"
"42","2","brightness","20","even","ctrl","conséquence"
"43","2","brightness","20","even","dark","terni"
"44","3","brightness","20","even","dark","opacité"
"45","1","brightness","20","even","light","luire"
"46","2","brightness","20","even","ctrl","absent"
"47","1","brightness","20","even","ctrl","mère"
"48","3","brightness","20","even","dark","insalubre"
"49","4","brightness","20","even","dark","ténèbres"
"50","2","brightness","20","even","ctrl","photographe"
"51","2","brightness","20","even","ctrl","décider"
"52","1","brightness","20","even","ctrl","blond"
"53","1","brightness","20","even","light","blanchissement"
"54","3","brightness","20","even","dark","brumeux"
"55","1","brightness","20","even","light","blanchiment"
"56","0","brightness","20","even","light","illumination"
"57","2","brightness","20","even","ctrl","abstenir"
