"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","3","emotion","27","odd","ctrl","honnête"
"1","4","emotion","27","odd","light","éclaircissement"
"2","3","emotion","27","odd","light","scintillant"
"3","1","emotion","27","odd","dark","pénombre"
"4","3","emotion","27","odd","light","éclairer"
"5","3","emotion","27","odd","light","lumineux"
"6","1","emotion","27","odd","dark","terni"
"7","0","emotion","27","odd","dark","noirci"
"8","2","emotion","27","odd","ctrl","opposé"
"9","3","emotion","27","odd","light","éblouir"
"10","2","emotion","27","odd","ctrl","justifier"
"11","1","emotion","27","odd","dark","noircir"
"12","2","emotion","27","odd","ctrl","sésame"
"13","2","emotion","27","odd","dark","ombragé"
"14","3","emotion","27","odd","light","blanchissement"
"15","4","emotion","27","odd","light","luire"
"16","3","emotion","27","odd","light","blanchir"
"17","4","emotion","27","odd","light","lumière"
"18","0","emotion","27","odd","dark","insalubre"
"19","0","emotion","27","odd","dark","ténèbres"
"20","3","emotion","27","odd","ctrl","artistique"
"21","3","emotion","27","odd","light","éclatant"
"22","1","emotion","27","odd","dark","noirceur"
"23","3","emotion","27","odd","light","luisant"
"24","3","emotion","27","odd","light","scintillement"
"25","3","emotion","27","odd","ctrl","photographe"
"26","2","emotion","27","odd","ctrl","personnel"
"27","3","emotion","27","odd","ctrl","familier"
"28","4","emotion","27","odd","light","illuminer"
"29","1","emotion","27","odd","dark","noir"
"30","3","emotion","27","odd","light","blanchiment"
"31","0","emotion","27","odd","dark","terne"
"32","0","emotion","27","odd","dark","ténébreux"
"33","2","emotion","27","odd","ctrl","conséquence"
"34","1","emotion","27","odd","ctrl","abstenir"
"35","3","emotion","27","odd","light","scintiller"
"36","1","emotion","27","odd","dark","assombrir"
"37","4","emotion","27","odd","ctrl","satisfaction"
"38","2","emotion","27","odd","ctrl","brève"
"39","4","emotion","27","odd","ctrl","sentimental"
"40","4","emotion","27","odd","light","ensoleillé"
"41","2","emotion","27","odd","ctrl","cacher"
"42","3","emotion","27","odd","light","jour"
"43","1","emotion","27","odd","ctrl","absent"
"44","3","emotion","27","odd","light","éblouissant"
"45","1","emotion","27","odd","dark","opacité"
"46","1","emotion","27","odd","ctrl","simulé"
"47","4","emotion","27","odd","ctrl","paisible"
"48","2","emotion","27","odd","dark","ombrager"
"49","3","emotion","27","odd","light","blanchi"
"50","4","emotion","27","odd","light","éclaircie"
"51","1","emotion","27","odd","dark","ennuager"
"52","1","emotion","27","odd","dark","opaque"
"53","2","emotion","27","odd","light","illumination"
"54","0","emotion","27","odd","ctrl","fracasser"
"55","3","emotion","27","odd","light","éclairé"
"56","0","emotion","27","odd","dark","térébrant"
"57","4","emotion","27","odd","light","étinceler"
"58","3","emotion","27","odd","ctrl","auberge"
"59","1","emotion","27","odd","dark","nuageux"
"60","1","emotion","27","odd","dark","foncé"
"61","1","emotion","27","odd","dark","trouble"
"62","2","emotion","27","odd","ctrl","nourriture"
"63","1","emotion","27","odd","dark","obscur"
"64","1","emotion","27","odd","dark","opacifier"
"65","1","emotion","27","odd","dark","obscurité"
"66","2","emotion","27","odd","ctrl","permettre"
"67","3","emotion","27","odd","light","blanc"
"68","1","emotion","27","odd","dark","ombrant"
"69","1","emotion","27","odd","ctrl","scandaleux"
"70","1","emotion","27","odd","dark","assombrissement"
"71","2","emotion","27","odd","dark","nuit"
"72","2","emotion","27","odd","ctrl","dessin"
"73","1","emotion","27","odd","dark","sombre"
"74","2","emotion","27","odd","ctrl","renforcer"
"75","1","emotion","27","odd","dark","ternir"
"76","3","emotion","27","odd","light","étincelant"
"77","3","emotion","27","odd","light","ensoleiller"
"78","1","emotion","27","odd","dark","ombrage"
"79","1","emotion","27","odd","dark","pénombre"
"80","4","emotion","27","odd","light","briller"
"81","2","emotion","27","odd","ctrl","mondial"
"82","4","emotion","27","odd","light","brillance"
"83","4","emotion","27","odd","light","brillant"
"84","2","emotion","27","odd","ctrl","contraire"
"85","2","emotion","27","odd","ctrl","témoin"
"86","1","emotion","27","odd","dark","obscurcissement"
"87","0","emotion","27","odd","ctrl","abandonner"
"88","3","emotion","27","odd","light","illuminant"
"89","4","emotion","27","odd","light","ébloui"
"90","4","emotion","27","odd","ctrl","généreux"
"91","2","emotion","27","odd","light","illuminé"
"92","2","emotion","27","odd","ctrl","blond"
"93","1","emotion","27","odd","dark","brumeux"
"94","0","emotion","27","odd","dark","enténébrer"
"95","2","emotion","27","odd","ctrl","assistant"
"96","4","emotion","27","odd","ctrl","mère"
"97","2","emotion","27","odd","ctrl","peuple"
"98","1","emotion","27","odd","dark","obscurcir"
"99","1","emotion","27","odd","dark","ombre"
"100","4","emotion","27","odd","ctrl","charmant"
"101","3","emotion","27","odd","ctrl","décider"
"102","2","emotion","27","odd","light","luminosité"
"103","1","brightness","27","odd","light","illuminer"
"104","0","brightness","27","odd","light","scintillant"
"105","2","brightness","27","odd","ctrl","auberge"
"106","1","brightness","27","odd","light","brillant"
"107","3","brightness","27","odd","dark","ternir"
"108","0","brightness","27","odd","light","illuminé"
"109","4","brightness","27","odd","dark","opacité"
"110","1","brightness","27","odd","light","étinceler"
"111","2","brightness","27","odd","ctrl","peuple"
"112","2","brightness","27","odd","ctrl","mondial"
"113","1","brightness","27","odd","light","ensoleillé"
"114","2","brightness","27","odd","ctrl","justifier"
