"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","2","brightness","15","odd","light","luminosité"
"1","1","brightness","15","odd","light","éclairé"
"2","1","brightness","15","odd","light","luire"
"3","2","brightness","15","odd","dark","ennuager"
"4","3","brightness","15","odd","dark","ombragé"
"5","2","brightness","15","odd","ctrl","artistique"
"6","0","brightness","15","odd","light","ébloui"
"7","3","brightness","15","odd","dark","assombrir"
"8","1","brightness","15","odd","light","lumineux"
"9","4","brightness","15","odd","dark","noircir"
"10","1","brightness","15","odd","light","blanc"
"11","3","brightness","15","odd","dark","ombrager"
"12","3","brightness","15","odd","dark","assombrissement"
"13","1","brightness","15","odd","light","illuminé"
"14","1","brightness","15","odd","light","éblouissant"
"15","2","brightness","15","odd","ctrl","mère"
"16","4","brightness","15","odd","dark","noir"
"17","2","brightness","15","odd","ctrl","familier"
"18","2","brightness","15","odd","dark","trouble"
"19","2","brightness","15","odd","dark","nuageux"
"20","2","brightness","15","odd","ctrl","nourriture"
"21","1","brightness","15","odd","ctrl","blond"
"22","2","brightness","15","odd","ctrl","sentimental"
"23","1","brightness","15","odd","light","luisant"
"24","1","brightness","15","odd","light","étincelant"
"25","3","brightness","15","odd","dark","nuit"
"26","2","brightness","15","odd","ctrl","brève"
"27","1","brightness","15","odd","light","jour"
"28","2","brightness","15","odd","dark","brumeux"
"29","3","brightness","15","odd","dark","ombre"
"30","1","brightness","15","odd","light","étinceler"
"31","1","brightness","15","odd","ctrl","généreux"
"32","3","brightness","15","odd","dark","terni"
"33","1","brightness","15","odd","light","illumination"
"34","2","brightness","15","odd","ctrl","cacher"
"35","2","brightness","15","odd","ctrl","renforcer"
"36","1","brightness","15","odd","ctrl","honnête"
"37","1","brightness","15","odd","light","brillance"
"38","3","brightness","15","odd","dark","ombrage"
"39","2","brightness","15","odd","ctrl","simulé"
"40","1","brightness","15","odd","light","illuminant"
"41","3","brightness","15","odd","dark","sombre"
"42","2","brightness","15","odd","ctrl","peuple"
"43","2","brightness","15","odd","ctrl","sésame"
