"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","2","emotion","9","odd","ctrl","brève"
"1","3","emotion","9","odd","light","illuminé"
"2","0","emotion","9","odd","dark","insalubre"
"3","2","emotion","9","odd","dark","ombragé"
"4","3","emotion","9","odd","light","jour"
"5","1","emotion","9","odd","dark","terni"
"6","4","emotion","9","odd","ctrl","dessin"
"7","1","emotion","9","odd","dark","ennuager"
"8","3","emotion","9","odd","light","scintillement"
"9","4","emotion","9","odd","light","éclatant"
"10","1","emotion","9","odd","dark","assombrir"
"11","1","emotion","9","odd","dark","enténébrer"
"12","2","emotion","9","odd","light","blanchiment"
"13","3","emotion","9","odd","light","scintillant"
"14","4","emotion","9","odd","light","illuminant"
"15","2","emotion","9","odd","dark","foncé"
"16","2","emotion","9","odd","dark","ombrage"
"17","3","emotion","9","odd","light","lumière"
"18","3","emotion","9","odd","ctrl","renforcer"
"19","0","emotion","9","odd","ctrl","fracasser"
"20","3","emotion","9","odd","ctrl","permettre"
"21","2","emotion","9","odd","ctrl","mondial"
"22","1","emotion","9","odd","ctrl","scandaleux"
"23","2","emotion","9","odd","ctrl","abandonner"
"24","3","emotion","9","odd","light","éblouir"
"25","2","emotion","9","odd","dark","ombre"
"26","1","emotion","9","odd","dark","obscurcir"
"27","2","emotion","9","odd","ctrl","familier"
"28","3","emotion","9","odd","light","luminosité"
"29","2","emotion","9","odd","light","blanc"
"30","4","emotion","9","odd","ctrl","généreux"
"31","1","emotion","9","odd","dark","terne"
"32","3","emotion","9","odd","light","éclairé"
"33","2","emotion","9","odd","dark","opacifier"
"34","3","emotion","9","odd","ctrl","justifier"
"35","2","emotion","9","odd","ctrl","blond"
"36","3","emotion","9","odd","light","illumination"
"37","2","emotion","9","odd","ctrl","auberge"
"38","3","emotion","9","odd","light","brillance"
"39","3","emotion","9","odd","dark","ténébreux"
"40","2","emotion","9","odd","dark","ombrant"
"41","3","emotion","9","odd","ctrl","charmant"
"42","2","emotion","9","odd","ctrl","cacher"
"43","2","emotion","9","odd","dark","nuageux"
"44","3","emotion","9","odd","ctrl","mère"
"45","3","emotion","9","odd","ctrl","personnel"
"46","2","emotion","9","odd","dark","opaque"
"47","4","emotion","9","odd","ctrl","photographe"
"48","2","emotion","9","odd","light","blanchi"
"49","4","emotion","9","odd","light","scintiller"
"50","4","emotion","9","odd","light","éclaircissement"
"51","1","emotion","9","odd","ctrl","absent"
"52","2","emotion","9","odd","ctrl","opposé"
"53","1","emotion","9","odd","ctrl","abstenir"
"54","2","emotion","9","odd","dark","opacité"
"55","2","emotion","9","odd","dark","ombrager"
"56","3","emotion","9","odd","dark","ténèbres"
"57","3","emotion","9","odd","dark","noirci"
"58","3","emotion","9","odd","ctrl","honnête"
"59","3","emotion","9","odd","light","étinceler"
"60","2","emotion","9","odd","dark","obscurité"
"61","2","emotion","9","odd","light","blanchir"
"62","4","emotion","9","odd","ctrl","décider"
"63","2","emotion","9","odd","ctrl","témoin"
"64","3","emotion","9","odd","dark","nuit"
"65","3","emotion","9","odd","dark","pénombre"
"66","2","emotion","9","odd","dark","noirceur"
"67","2","emotion","9","odd","dark","noircir"
"68","3","emotion","9","odd","light","étincelant"
"69","3","emotion","9","odd","ctrl","peuple"
"70","2","emotion","9","odd","ctrl","contraire"
"71","4","emotion","9","odd","ctrl","sentimental"
"72","4","emotion","9","odd","light","illuminer"
"73","4","emotion","9","odd","ctrl","paisible"
"74","2","emotion","9","odd","light","blanchissement"
"75","1","emotion","9","odd","dark","ternir"
"76","3","emotion","9","odd","dark","pénombre"
"77","1","emotion","9","odd","dark","trouble"
"78","3","emotion","9","odd","light","lumineux"
"79","2","emotion","9","odd","ctrl","simulé"
"80","3","emotion","9","odd","ctrl","assistant"
"81","2","emotion","9","odd","dark","térébrant"
"82","3","emotion","9","odd","light","briller"
"83","4","emotion","9","odd","light","ensoleillé"
"84","3","emotion","9","odd","ctrl","artistique"
"85","1","emotion","9","odd","dark","assombrissement"
"86","3","emotion","9","odd","light","ébloui"
"87","3","emotion","9","odd","light","éclaircie"
"88","3","emotion","9","odd","light","brillant"
"89","4","emotion","9","odd","ctrl","sésame"
"90","2","emotion","9","odd","ctrl","conséquence"
"91","2","emotion","9","odd","light","luisant"
"92","3","emotion","9","odd","light","ensoleiller"
"93","3","emotion","9","odd","light","éblouissant"
"94","1","emotion","9","odd","dark","obscurcissement"
"95","2","emotion","9","odd","dark","noir"
"96","2","emotion","9","odd","light","luire"
"97","3","emotion","9","odd","ctrl","satisfaction"
