"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","3","brightness","28","even","dark","noirci"
"1","3","brightness","28","even","dark","obscurcir"
"2","2","brightness","28","even","ctrl","photographe"
"3","2","brightness","28","even","ctrl","peuple"
"4","2","brightness","28","even","dark","térébrant"
"5","4","brightness","28","even","dark","noir"
"6","1","brightness","28","even","light","blanchiment"
"7","1","brightness","28","even","ctrl","satisfaction"
"8","1","brightness","28","even","light","blanc"
"9","3","brightness","28","even","dark","assombrir"
"10","2","brightness","28","even","ctrl","nourriture"
"11","0","brightness","28","even","light","éblouissant"
"12","3","brightness","28","even","dark","nuageux"
"13","1","brightness","28","even","light","blanchissement"
"14","3","brightness","28","even","dark","terne"
"15","2","brightness","28","even","ctrl","paisible"
"16","3","brightness","28","even","dark","noirceur"
"17","3","brightness","28","even","light","lumineux"
"18","3","brightness","28","even","dark","obscur"
"19","1","brightness","28","even","light","brillant"
"20","2","brightness","28","even","ctrl","justifier"
"21","1","brightness","28","even","light","blanchir"
"22","3","brightness","28","even","ctrl","abandonner"
"23","1","brightness","28","even","light","luminosité"
"24","1","brightness","28","even","light","ensoleillé"
"25","1","brightness","28","even","light","illuminant"
"26","3","brightness","28","even","dark","terni"
"27","2","brightness","28","even","ctrl","auberge"
"28","1","brightness","28","even","light","luire"
"29","2","brightness","28","even","ctrl","scandaleux"
"30","3","brightness","28","even","dark","brumeux"
"31","2","brightness","28","even","ctrl","renforcer"
"32","3","brightness","28","even","dark","nuit"
"33","2","brightness","28","even","ctrl","mère"
"34","2","brightness","28","even","ctrl","honnête"
"35","1","brightness","28","even","light","étinceler"
"36","3","brightness","28","even","dark","ombragé"
"37","3","brightness","28","even","dark","opaque"
"38","4","brightness","28","even","dark","insalubre"
"39","3","brightness","28","even","ctrl","absent"
"40","0","brightness","28","even","light","ébloui"
"41","3","brightness","28","even","dark","assombrissement"
"42","1","brightness","28","even","light","étincelant"
"43","2","brightness","28","even","ctrl","dessin"
"44","1","brightness","28","even","light","éclairé"
"45","1","brightness","28","even","light","briller"
"46","1","brightness","28","even","light","blanchi"
"47","2","brightness","28","even","ctrl","témoin"
"48","2","brightness","28","even","ctrl","permettre"
"49","3","brightness","28","even","dark","trouble"
"50","1","brightness","28","even","light","jour"
"51","1","brightness","28","even","light","ensoleiller"
"52","2","brightness","28","even","ctrl","mondial"
"53","3","brightness","28","even","dark","obscurité"
"54","2","brightness","28","even","ctrl","sentimental"
"55","1","brightness","28","even","light","scintillant"
"56","1","brightness","28","even","ctrl","généreux"
"57","1","brightness","28","even","ctrl","blond"
"58","2","brightness","28","even","ctrl","conséquence"
"59","0","brightness","28","even","light","éblouir"
"60","3","brightness","28","even","dark","sombre"
"61","4","brightness","28","even","dark","pénombre"
