"count_trial_sequence","rating","rating_type","subject_nr","subject_parity","type","word"
"0","3","emotion","10","even","ctrl","peuple"
"1","3","emotion","10","even","light","éclairer"
"2","2","emotion","10","even","ctrl","dessin"
"3","3","emotion","10","even","light","scintiller"
"4","1","emotion","10","even","dark","trouble"
"5","1","emotion","10","even","dark","terni"
"6","4","emotion","10","even","light","illuminer"
"7","1","emotion","10","even","dark","opaque"
"8","2","emotion","10","even","ctrl","cacher"
"9","3","emotion","10","even","ctrl","nourriture"
"10","3","emotion","10","even","light","luminosité"
"11","1","emotion","10","even","dark","assombrissement"
"12","3","emotion","10","even","ctrl","sentimental"
"13","3","emotion","10","even","light","éclaircissement"
"14","3","emotion","10","even","light","illuminant"
"15","3","emotion","10","even","ctrl","mère"
"16","2","emotion","10","even","ctrl","photographe"
"17","1","emotion","10","even","dark","noirci"
"18","1","emotion","10","even","dark","sombre"
"19","1","emotion","10","even","dark","obscurcir"
"20","2","emotion","10","even","ctrl","assistant"
"21","1","emotion","10","even","dark","obscur"
"22","2","emotion","10","even","dark","pénombre"
"23","1","emotion","10","even","dark","obscurcissement"
"24","2","emotion","10","even","light","blanchir"
"25","2","emotion","10","even","dark","brumeux"
"26","3","emotion","10","even","light","illuminé"
"27","2","emotion","10","even","ctrl","abstenir"
"28","1","emotion","10","even","dark","opacifier"
"29","2","emotion","10","even","dark","ombragé"
"30","4","emotion","10","even","ctrl","charmant"
"31","4","emotion","10","even","light","éblouissant"
"32","2","emotion","10","even","ctrl","opposé"
"33","3","emotion","10","even","light","ensoleillé"
"34","4","emotion","10","even","light","briller"
"35","0","emotion","10","even","ctrl","fracasser"
"36","1","emotion","10","even","dark","opacité"
"37","0","emotion","10","even","dark","insalubre"
"38","4","emotion","10","even","ctrl","généreux"
"39","3","emotion","10","even","ctrl","permettre"
"40","2","emotion","10","even","ctrl","simulé"
"41","2","emotion","10","even","ctrl","renforcer"
"42","0","emotion","10","even","dark","noirceur"
"43","1","emotion","10","even","dark","assombrir"
"44","3","emotion","10","even","light","scintillement"
"45","2","emotion","10","even","light","luisant"
"46","2","emotion","10","even","dark","foncé"
"47","2","emotion","10","even","ctrl","témoin"
"48","3","emotion","10","even","ctrl","paisible"
"49","4","emotion","10","even","light","éclatant"
"50","2","emotion","10","even","dark","ombrager"
"51","2","emotion","10","even","ctrl","absent"
"52","3","emotion","10","even","ctrl","satisfaction"
"53","2","emotion","10","even","ctrl","contraire"
"54","0","emotion","10","even","dark","ténèbres"
"55","0","emotion","10","even","light","lumière"
"56","3","emotion","10","even","light","jour"
"57","2","emotion","10","even","light","blanchissement"
"58","1","emotion","10","even","dark","terne"
"59","1","emotion","10","even","dark","obscurité"
"60","3","emotion","10","even","light","éclaircie"
"61","3","emotion","10","even","light","scintillant"
"62","4","emotion","10","even","light","étinceler"
"63","2","emotion","10","even","dark","ennuager"
"64","2","emotion","10","even","ctrl","familier"
"65","2","emotion","10","even","ctrl","justifier"
"66","2","emotion","10","even","dark","térébrant"
"67","3","emotion","10","even","ctrl","blond"
"68","4","emotion","10","even","light","illumination"
"69","3","emotion","10","even","light","lumineux"
"70","2","emotion","10","even","ctrl","mondial"
"71","0","emotion","10","even","dark","enténébrer"
"72","3","emotion","10","even","ctrl","honnête"
"73","2","emotion","10","even","dark","nuit"
"74","2","emotion","10","even","ctrl","personnel"
"75","2","emotion","10","even","light","blanchiment"
"76","3","emotion","10","even","light","blanc"
"77","2","emotion","10","even","dark","ombre"
"78","2","emotion","10","even","ctrl","conséquence"
"79","3","emotion","10","even","light","éclairé"
"80","2","emotion","10","even","light","blanchi"
"81","1","emotion","10","even","dark","pénombre"
"82","2","emotion","10","even","dark","ombrage"
"83","1","emotion","10","even","ctrl","abandonner"
"84","3","emotion","10","even","light","brillance"
"85","4","emotion","10","even","light","étincelant"
"86","0","emotion","10","even","ctrl","scandaleux"
"87","2","emotion","10","even","light","luire"
"88","2","emotion","10","even","ctrl","décider"
"89","2","emotion","10","even","ctrl","sésame"
"90","3","emotion","10","even","light","brillant"
"91","1","emotion","10","even","dark","noir"
"92","3","emotion","10","even","light","ensoleiller"
"93","3","emotion","10","even","ctrl","auberge"
"94","1","emotion","10","even","light","ébloui"
"95","2","emotion","10","even","light","éblouir"
"96","0","emotion","10","even","dark","ténébreux"
"97","1","emotion","10","even","dark","nuageux"
"98","1","emotion","10","even","dark","noircir"
"99","1","emotion","10","even","dark","ternir"
"100","2","emotion","10","even","ctrl","brève"
"101","3","emotion","10","even","ctrl","artistique"
"102","2","emotion","10","even","dark","ombrant"
"103","2","brightness","10","even","ctrl","brève"
